Reading,Load [17.6 N],Time [sec.]
1,0,0
2,0,0.099
3,0,0.2
4,0,0.299
5,0,0.4
6,0,0.5
7,0,0.599
8,0,0.699
9,0,0.799
10,0,0.9
11,0,0.999
12,0,1.1
13,0,1.201
14,0,1.3
15,0,1.4
16,0,1.501
17,0,1.599
18,0,1.699
19,0,1.802
20,0,1.899
21,0,1.999
22,0,2.1
23,0,2.2
24,0,2.299
25,0,2.399
26,0,2.499
27,0,2.6
28,0,2.699
29,0,2.8
30,0,2.899
31,0,2.999
32,0,3.099
33,0,3.199
34,0,3.3
35,0,3.399
36,0,3.5
37,0,3.599
38,0,3.699
39,0,3.798
40,0,3.9
41,0,3.999
42,0,4.1
43,0,4.199
44,0,4.302
45,0,4.399
46,0,4.499
47,0,4.6
48,0,4.7
49,0,4.8
50,0,4.899
51,0,5
52,0,5.099
53,0,5.2
54,0,5.3
55,0,5.399
56,0,5.499
57,0,5.599
58,0,5.699
59,0,5.799
60,0,5.899
61,0,6
62,0,6.099
63,0,6.199
64,0,6.301
65,0,6.399
66,0,6.499
67,0,6.599
68,0,6.699
69,0,6.799
70,0,6.899
71,0,6.999
72,0,7.099
73,0,7.199
74,0,7.299
75,0,7.399
76,0,7.5
77,0,7.599
78,0,7.699
79,0,7.798
80,0,7.899
81,0,7.999
82,0,8.099
83,0,8.199
84,0,8.299
85,0,8.4
86,0,8.5
87,0,8.6
88,0,8.7
89,0,8.8
90,0,8.899
91,0,8.999
92,0,9.099
93,0,9.199
94,0,9.299
95,0,9.399
96,0,9.499
97,0,9.599
98,0,9.699
99,0,9.799
100,0,9.898
101,0,9.999
102,0,10.099
103,0,10.199
104,0,10.299
105,0,10.399
106,0,10.499
107,0,10.6
108,0,10.698
109,0,10.801
110,0,10.899
111,0,10.998
112,0,11.098
113,0,11.199
114,0,11.299
115,0,11.401
116,0,11.5
117,0,11.599
118,0,11.699
119,0,11.799
120,0,11.899
121,0,12
122,0,12.1
123,0,12.2
124,0,12.302
125,0,12.399
126,0,12.5
127,0,12.6
128,0,12.699
129,0,12.801
130,0,12.899
131,0,13
132,0,13.1
133,0,13.199
134,0,13.3
135,0,13.402
136,0,13.5
137,0,13.6
138,0,13.7
139,0,13.798
140,0,13.9
141,0,14
142,0,14.1
143,0,14.2
144,0,14.3
145,0,14.4
146,0,14.5
147,0,14.599
148,0,14.7
149,0,14.8
150,0,14.9
151,0,15
152,0,15.1
153,0,15.198
154,0,15.3
155,0,15.4
156,0,15.5
157,0,15.601
158,0,15.7
159,0,15.8
160,0,15.899
161,0,16
162,0,16.098
163,0,16.207
164,0,16.304
165,0,16.4
166,0,16.499
167,0,16.601
168,0,16.7
169,0,16.798
170,0,16.899
171,0,17.001
172,0,17.1
173,0,17.198
174,0,17.3
175,0,17.399
176,0,17.499
177,0,17.599
178,0,17.698
179,0,17.8
180,0,17.9
181,0,18
182,0,18.099
183,0,18.199
184,0,18.299
185,0,18.399
186,0,18.499
187,0,18.599
188,0,18.699
189,0,18.799
190,0,18.899
191,0,18.999
192,0,19.1
193,0,19.199
194,0,19.299
195,0,19.4
196,0,19.499
197,0,19.599
198,0,19.699
199,0,19.799
200,0,19.899
201,0,19.999
202,0,20.1
203,0,20.2
204,0,20.299
205,0,20.4
206,0,20.499
207,0,20.599
208,0,20.699
209,0,20.799
210,0,20.899
211,0,20.998
212,0,21.099
213,0,21.199
214,0,21.299
215,0,21.399
216,0,21.498
217,0,21.599
218,0,21.699
219,0,21.799
220,0,21.899
221,0,21.999
222,0,22.099
223,0,22.199
224,0,22.299
225,0,22.4
226,0,22.499
227,0,22.599
228,0,22.699
229,0,22.801
230,0,22.899
231,0,22.998
232,0,23.098
233,0,23.198
234,0,23.299
235,0,23.398
236,0,23.5
237,0,23.598
238,0,23.698
239,0,23.8
240,0,23.899
241,0,23.998
242,0,24.099
243,0,24.198
244,0,24.3
245,0,24.398
246,0,24.498
247,0,24.599
248,0,24.703
249,0,24.8
250,0,24.899
251,0,25
252,0,25.099
253,0,25.199
254,0,25.299
255,0,25.399
256,0,25.499
257,0,25.6
258,0,25.702
259,0,25.8
260,0,25.899
261,0,25.999
262,0,26.099
263,0,26.199
264,0,26.299
265,0,26.4
266,0,26.499
267,0,26.599
268,0,26.699
269,0,26.799
270,0,26.899
271,0,27
272,0,27.099
273,0,27.198
274,0,27.3
275,0,27.399
276,0,27.5
277,0,27.599
278,0,27.7
279,0,27.803
280,0,27.9
281,0,28.007
282,0,28.1
283,0,28.201
284,0,28.299
285,0,28.4
286,0,28.499
287,0,28.599
288,0,28.699
289,0,28.799
290,0,28.899
291,0,28.999
292,0,29.099
293,0,29.199
294,0,29.3
295,0,29.401
296,0,29.498
297,0,29.599
298,0,29.699
299,0,29.799
300,0,29.899
301,0,29.999
302,0,30.098
303,0,30.198
304,0,30.299
305,0,30.398
306,0,30.498
307,0,30.598
308,0,30.698
309,0,30.799
310,0,30.899
311,0,30.999
312,0,31.1
313,0,31.199
314,0,31.299
315,0,31.399
316,0,31.499
317,0,31.599
318,0,31.701
319,0,31.799
320,0,31.898
321,0,31.999
322,0,32.1
323,0,32.199
324,0,32.299
325,0,32.399
326,0,32.499
327,0,32.599
328,0,32.699
329,0,32.799
330,0,32.899
331,0,32.999
332,0,33.099
333,0,33.199
334,0,33.299
335,0,33.399
336,0,33.499
337,0,33.599
338,0,33.699
339,0,33.799
