Reading,Load [40.0 N],Time [sec.]
1,-0.2,0
2,-0.2,0.097
3,-0.2,0.197
4,-0.2,0.297
5,-0.2,0.396
6,-0.2,0.497
7,-0.2,0.597
8,-0.2,0.698
9,-0.2,0.799
10,-0.2,0.899
11,-0.2,0.997
12,-0.2,1.098
13,-0.2,1.198
14,-0.2,1.301
15,-0.2,1.396
16,-0.2,1.497
17,-0.2,1.598
18,-0.2,1.697
19,-0.2,1.797
20,-0.2,1.898
21,-0.2,1.997
22,-0.2,2.097
23,-0.2,2.198
24,-0.2,2.297
25,-0.2,2.396
26,-0.2,2.497
27,-0.2,2.597
28,-0.2,2.697
29,-0.2,2.797
30,-0.2,2.897
31,-0.2,2.997
32,-0.2,3.101
33,-0.2,3.199
34,-0.2,3.298
35,-0.2,3.4
36,-0.2,3.498
37,-0.2,3.598
38,-0.2,3.7
39,-0.2,3.797
40,-0.2,3.898
41,-0.2,3.998
42,-0.2,4.097
43,-0.2,4.197
44,-0.2,4.298
45,-0.2,4.398
46,-0.2,4.505
47,-0.2,4.603
48,-0.2,4.698
49,-0.2,4.798
50,-0.2,4.896
51,-0.2,4.997
52,-0.2,5.097
53,-0.2,5.197
54,-0.2,5.301
55,-0.2,5.399
56,-0.2,5.503
57,-0.2,5.598
58,-0.2,5.698
59,-0.2,5.797
60,-0.2,5.904
61,-0.2,5.999
62,-0.2,6.1
63,-0.2,6.2
64,-0.2,6.299
65,-0.2,6.397
66,-0.2,6.497
67,-0.2,6.597
68,-0.2,6.697
69,-0.2,6.798
70,-0.2,6.897
71,-0.2,6.999
72,-0.2,7.098
73,-0.2,7.197
74,0,7.297
75,-0.2,7.396
76,-0.2,7.497
77,-0.2,7.597
78,-0.2,7.697
79,-0.2,7.797
80,-0.2,7.896
81,-0.2,7.997
82,-0.2,8.099
83,-0.2,8.196
84,-0.2,8.298
85,-0.2,8.397
86,-0.2,8.498
87,-0.2,8.599
88,-0.2,8.697
89,-0.2,8.797
90,-0.2,8.897
91,-0.2,8.998
92,-0.2,9.098
93,-0.2,9.197
94,-0.2,9.299
95,-0.2,9.396
96,-0.2,9.498
97,-0.2,9.604
98,-0.2,9.703
99,-0.2,9.798
100,-0.2,9.896
101,-0.2,9.997
102,-0.2,10.1
103,-0.2,10.198
104,-0.2,10.298
105,-0.2,10.395
106,-0.2,10.499
107,-0.2,10.596
108,-0.2,10.697
109,-0.2,10.8
110,-0.2,10.899
111,-0.2,10.996
112,-0.2,11.097
113,-0.2,11.197
114,-0.2,11.297
115,-0.2,11.401
116,-0.2,11.498
117,-0.2,11.596
118,-0.2,11.698
119,-0.2,11.797
