Reading,Load [27.4 N],Time [sec.]
1,0,0
2,0,0.098
3,0,0.199
4,0,0.298
5,0,0.398
6,0,0.498
7,0,0.598
8,0,0.7
9,0,0.798
10,0,0.898
11,0,0.998
12,0,1.097
13,0,1.2
14,0,1.298
15,0,1.4
16,0,1.498
17,0,1.601
18,0,1.699
19,0,1.798
20,0,1.898
21,0,1.999
22,0,2.097
23,0,2.2
24,0,2.298
25,0,2.398
26,0,2.498
27,0,2.598
28,0,2.699
29,0,2.798
30,0,2.897
31,0,2.998
32,0,3.102
33,0,3.199
34,0,3.299
35,0,3.4
36,0,3.503
37,0,3.599
38,0,3.699
39,0,3.798
40,0,3.898
41,0,3.999
42,0,4.099
43,0,4.198
44,0,4.31
45,0,4.4
46,0,4.498
47,0,4.599
48,0,4.698
49,0,4.798
50,0,4.9
51,0,5.001
52,0,5.104
53,0,5.2
54,0,5.301
55,0,5.4
56,0,5.498
57,0,5.599
58,0,5.698
59,0,5.802
60,0,5.899
61,0,6.001
62,0,6.098
63,0,6.209
64,0,6.299
65,0,6.398
66,0,6.498
67,0,6.598
68,0,6.701
69,0,6.798
70,0,6.898
71,0,6.999
72,0,7.098
73,0,7.199
74,0,7.298
75,0,7.398
76,0,7.498
77,0,7.598
78,0,7.698
79,0,7.798
80,0,7.898
81,0,8.007
82,0,8.1
83,0,8.198
84,0,8.298
85,0,8.398
86,0,8.498
87,0,8.598
88,0,8.699
89,0,8.799
90,0,8.898
91,0,8.999
92,0,9.099
93,0,9.201
94,0,9.298
95,0,9.4
96,0,9.5
97,0,9.598
98,0,9.698
99,0,9.798
100,0,9.899
101,0,9.999
102,0,10.099
103,0,10.209
104,0,10.299
105,0,10.399
106,0,10.499
107,0,10.598
108,0,10.7
109,0,10.798
110,0,10.899
111,0,10.997
112,0,11.098
113,0,11.2
114,0,11.298
115,0,11.397
116,0,11.498
117,0,11.598
118,0,11.7
119,0,11.797
120,-0.2,11.9
121,0,11.998
122,0,12.098
123,0,12.199
124,0,12.297
125,0,12.398
126,0,12.499
127,0,12.6
128,0,12.699
129,0,12.799
130,0,12.899
131,0,13
132,0,13.099
133,0,13.199
134,0,13.299
135,0,13.398
136,0,13.498
137,0,13.597
138,0,13.699
139,0,13.798
140,0,13.898
141,0,13.997
142,0,14.097
143,0,14.198
144,0,14.298
145,0,14.398
146,0,14.498
147,0,14.598
148,0,14.699
149,0,14.798
150,0,14.897
151,0,14.998
152,0,15.098
153,0,15.199
154,0,15.298
155,0,15.4
156,0,15.499
157,0,15.598
158,0,15.699
159,0,15.798
160,0,15.898
161,0,15.998
162,0,16.098
163,0,16.198
164,0,16.298
165,0,16.398
166,0,16.497
167,0,16.598
168,0,16.699
169,0,16.798
170,0,16.897
171,0,16.998
172,0,17.098
173,0,17.199
174,0,17.298
175,0,17.397
176,0,17.497
177,0,17.598
178,0,17.699
179,0,17.797
180,0,17.898
181,0,17.998
182,0,18.097
183,0,18.199
184,0,18.297
185,0,18.398
186,0,18.498
187,0,18.598
188,0,18.699
189,0,18.798
190,0,18.898
191,0,18.998
192,0,19.097
193,0,19.198
194,0,19.298
195,0,19.398
196,0,19.498
197,0,19.598
198,0,19.699
199,0,19.798
200,0,19.898
201,0,19.999
202,0,20.099
203,0,20.202
204,0,20.299
205,0,20.398
206,0,20.499
207,0,20.598
208,0,20.701
209,0,20.798
210,0,20.898
211,0,20.998
212,0,21.099
213,0,21.199
214,0,21.299
215,0,21.398
216,0,21.498
217,0,21.599
218,0,21.698
219,0,21.798
220,0,21.898
221,0,21.998
222,0,22.098
223,0,22.199
224,0,22.297
225,0,22.398
226,0,22.498
227,0,22.598
228,0,22.699
229,0,22.798
230,0,22.897
231,-0.2,22.998
232,-0.2,23.098
233,0,23.2
234,0,23.3
235,0,23.4
236,0,23.502
237,0,23.602
238,0,23.702
239,0,23.802
240,0,23.901
241,0,23.998
242,0,24.098
243,0,24.199
244,0,24.298
245,-0.2,24.398
246,-0.2,24.499
247,0,24.598
248,0,24.699
249,0,24.798
250,0,24.898
251,0,24.998
252,0,25.098
253,0,25.199
254,0,25.298
255,0,25.398
256,0,25.498
257,0,25.597
258,0,25.699
259,0,25.798
260,0,25.898
261,0,25.997
262,0,26.098
263,0,26.199
264,0,26.297
265,0,26.398
266,0,26.498
267,0,26.598
268,0,26.699
269,0,26.798
270,0,26.898
271,0,26.998
272,0,27.098
273,0,27.199
274,-0.2,27.298
275,-0.2,27.398
276,-0.2,27.498
277,0,27.598
278,0,27.699
279,0,27.798
280,0,27.898
281,0,27.998
282,0,28.099
283,0,28.201
284,-0.2,28.299
285,0,28.398
286,0,28.498
287,0,28.597
288,0,28.699
289,0,28.797
290,0,28.898
291,0,29
292,0,29.098
293,0,29.199
294,0,29.298
295,0,29.398
296,0,29.498
297,-0.2,29.604
298,-0.2,29.706
299,-0.2,29.8
300,0,29.898
301,0,29.998
302,0,30.098
303,0,30.198
304,0,30.298
305,0,30.398
306,-0.2,30.498
307,0,30.602
308,0,30.699
309,0,30.801
310,0,30.901
311,0,30.998
312,0,31.098
313,0,31.199
314,0,31.298
315,0,31.397
316,0,31.497
317,0,31.598
318,0,31.7
319,0,31.798
320,0,31.898
321,0,31.998
322,0,32.097
323,0,32.2
324,0,32.303
325,0,32.4
326,0,32.498
327,0,32.599
328,0,32.699
329,0,32.804
330,0,32.903
331,-0.2,32.999
332,-0.2,33.098
333,-0.2,33.199
334,-0.2,33.298
335,0,33.398
336,0,33.498
337,0,33.598
338,0,33.7
339,0,33.8
340,0,33.898
341,0,34.046
342,0,34.1
343,0,34.198
344,0,34.299
345,0,34.398
346,0,34.499
347,0,34.604
348,0,34.699
349,0,34.799
350,0,34.898
351,0,34.999
352,0,35.098
353,-0.2,35.199
354,-0.2,35.298
355,-0.2,35.399
356,-0.2,35.498
357,-0.2,35.599
358,0,35.698
359,-0.2,35.818
360,0,35.899
361,0,36
