Reading,Load [0.4 N],Time [sec.]
1,0,0
2,0,0.1
3,0,0.199
4,0,0.3
5,0,0.411
6,0,0.501
7,0,0.599
8,0,0.699
9,0,0.8
10,0,0.899
11,0,1
12,0,1.098
13,0,1.199
14,0,1.312
15,0,1.403
16,0,1.501
17,0,1.599
18,0,1.699
19,0,1.799
20,0,1.899
21,0,1.999
22,0,2.1
23,0,2.199
24,0,2.3
25,0,2.4
26,0,2.499
27,0,2.599
28,0,2.704
29,0,2.8
30,0,2.899
31,0,2.999
32,0,3.1
33,0,3.205
34,0,3.301
35,0,3.4
36,0,3.499
37,0,3.603
38,0,3.7
39,0,3.799
40,0,3.899
41,0,3.999
42,0,4.102
43,0,4.202
44,0,4.301
45,0,4.399
46,0,4.499
47,0,4.6
48,0,4.699
49,0,4.8
50,0,4.9
51,0,5
52,0,5.099
53,0,5.199
54,0,5.3
55,0,5.399
56,0,5.499
57,0,5.599
58,0,5.699
59,0,5.801
60,0,5.899
61,0,5.999
62,0,6.1
63,0,6.2
64,0,6.299
65,0,6.399
66,0,6.499
67,0,6.599
68,0,6.699
69,0,6.8
70,0,6.899
71,0,7
72,0,7.098
73,0,7.199
74,0,7.3
75,0,7.399
76,0.2,7.499
77,0.2,7.599
78,0.2,7.699
79,0.2,7.799
80,0.2,7.899
81,0.2,7.998
82,0.2,8.098
83,0.2,8.199
84,0.2,8.299
85,0.2,8.398
86,0.2,8.499
87,0.4,8.603
88,0.2,8.7
89,0.2,8.801
90,0.2,8.899
91,0.2,8.999
92,0.2,9.103
93,0,9.205
94,-0.4,9.304
95,-1,9.402
96,-1.4,9.499
97,-1.4,9.599
98,-1.8,9.699
99,-2,9.8
100,-2.2,9.899
101,-2.6,9.999
102,-2.6,10.099
103,-3,10.199
104,-3.4,10.3
105,-3.6,10.399
106,-4.2,10.501
107,-4.6,10.599
108,-4.6,10.699
109,-4.8,10.8
110,-5,10.899
111,-5.2,10.999
112,-5.2,11.099
113,-5,11.199
114,-5,11.301
115,-5,11.399
116,-5,11.5
117,-5,11.599
118,-5,11.699
119,-5,11.8
120,-5,11.899
121,-5,12
122,-5,12.099
123,-4.8,12.199
124,-4.8,12.3
125,-4.8,12.399
126,-4.8,12.5
127,-4.8,12.599
128,-4.8,12.699
129,-4.8,12.8
130,-4.8,12.899
131,-4.8,13
132,-4.8,13.1
133,-4.8,13.199
134,-4.8,13.3
135,-4.8,13.399
136,-4.8,13.5
137,-4.8,13.602
138,-4.8,13.699
139,-4.8,13.8
140,-4.8,13.9
141,-4.8,13.999
142,-4.8,14.099
143,-4.8,14.199
144,-4.8,14.3
145,-4.8,14.399
146,-4.8,14.499
147,-4.8,14.599
148,-4.8,14.701
149,-4.8,14.799
150,-4.6,14.899
151,-4.6,14.999
152,-4.6,15.099
153,-4.6,15.199
154,-4.6,15.3
155,-4.6,15.4
156,-4.6,15.499
157,-4.6,15.601
158,-4.6,15.698
159,-4.6,15.8
160,-4.6,15.899
161,-4.6,15.998
162,-4.6,16.099
163,-4.6,16.199
164,-4.6,16.3
165,-4.6,16.399
166,-4.6,16.499
167,-4.6,16.599
168,-4.6,16.699
169,-4.6,16.8
170,-4.6,16.899
171,-4.6,17.001
172,-4.6,17.099
173,-4.6,17.199
174,-4.6,17.3
175,-4.6,17.399
176,-4.6,17.499
177,-4.6,17.599
178,-4.6,17.699
179,-4.6,17.8
180,-4.6,17.899
181,-4.6,17.999
182,-4.6,18.099
183,-4.6,18.199
184,-4.6,18.3
185,-4.6,18.399
186,-4.6,18.499
187,-4.6,18.598
188,-4.6,18.699
189,-4.6,18.8
190,-4.6,18.899
191,-4.6,18.999
192,-4.6,19.099
193,-4.6,19.198
194,-4.6,19.3
195,-4.6,19.398
196,-4.6,19.499
197,-4.6,19.599
198,-4.6,19.7
199,-4.6,19.799
200,-4.6,19.899
201,-4.6,19.999
202,-4.6,20.099
203,-4.6,20.199
204,-4.6,20.3
205,-4.6,20.399
206,-4.6,20.499
207,-4.6,20.601
208,-4.6,20.699
209,-4.6,20.801
210,-4.6,20.899
211,-4.6,21.001
212,-4.6,21.1
213,-4.6,21.199
214,-4.6,21.3
215,-4.6,21.4
216,-4.6,21.499
217,-4.6,21.598
218,-4.6,21.699
219,-4.6,21.8
220,-4.6,21.899
221,-4.6,22
222,-4.6,22.1
223,-4.6,22.198
224,-4.6,22.3
225,-4.6,22.419
226,-4.6,22.5
227,-4.6,22.601
