Reading,Load [0.0 N],Time [sec.]
1,0,0
2,0,0.072
3,0,0.17
4,0,0.27
5,0,0.369
6,0,0.476
7,0,0.575
8,0,0.674
9,0,0.773
10,0,0.875
11,0,0.974
12,0,1.071
13,0,1.17
14,0,1.27
15,0,1.369
16,0,1.472
17,0,1.571
18,0,1.674
19,0,1.772
20,0,1.87
21,0,1.97
22,0,2.07
23,0,2.17
24,0,2.27
25,0,2.369
26,0,2.471
27,0,2.571
28,0,2.67
29,0,2.77
30,0,2.869
31,0,2.974
32,0,3.071
33,0,3.17
34,0,3.27
35,0,3.369
36,0,3.47
37,0,3.569
38,0,3.679
39,0,3.773
40,0,3.87
41,0,3.97
42,0,4.075
43,0,4.177
44,0,4.273
45,0,4.371
46,0,4.492
47,0,4.575
48,0,4.676
49,0,4.771
50,0,4.876
51,0,4.973
52,0,5.071
53,0,5.17
54,0,5.27
55,0,5.369
56,0,5.47
57,0,5.57
58,0,5.67
59,0,5.77
60,0,5.869
61,0,5.97
62,0,6.07
63,0,6.17
64,0,6.27
65,0,6.371
66,0,6.471
67,0,6.571
68,0,6.67
69,0,6.77
70,0,6.869
71,0,6.971
72,0,7.07
73,0,7.17
74,0,7.271
75,0,7.369
76,0,7.47
77,0,7.569
78,0,7.67
79,0,7.77
80,0,7.869
81,0,7.97
82,0,8.07
83,0,8.169
84,0,8.27
85,0,8.369
86,0,8.47
87,0,8.57
88,0,8.67
89,0,8.77
90,0,8.869
91,0,8.97
92,0,9.07
93,0,9.17
94,0,9.27
95,0,9.373
96,0,9.47
97,0,9.57
98,0,9.67
99,0,9.771
100,0,9.87
101,0,9.97
102,0,10.071
103,0,10.171
104,0,10.27
105,0,10.37
106,0,10.47
107,0,10.571
108,0,10.671
109,0,10.77
110,0,10.869
111,0,10.97
112,0,11.07
113,0,11.17
114,0,11.27
115,0,11.369
116,0,11.47
117,0,11.57
118,0,11.67
119,0,11.77
120,0,11.869
121,0,11.97
122,0,12.07
123,0,12.17
124,0,12.27
125,0,12.369
126,0,12.47
127,0,12.57
128,0,12.67
129,0,12.77
130,0,12.869
131,0,12.97
132,0,13.07
133,0,13.171
134,0,13.27
135,0,13.369
136,0,13.47
137,0,13.57
138,0,13.67
139,0,13.77
140,0,13.869
141,0,13.97
142,0,14.07
143,0,14.17
144,0,14.27
145,0,14.369
146,0,14.47
147,0,14.57
148,0,14.67
149,0,14.771
150,0,14.869
151,0,14.969
152,0,15.07
153,0,15.17
154,0,15.271
155,0,15.37
156,0,15.47
157,0,15.57
158,0,15.67
159,0,15.77
160,0,15.869
161,0,15.97
162,0,16.07
163,0,16.17
164,0,16.27
165,0,16.369
166,0,16.47
167,0,16.57
168,0,16.67
169,0,16.769
170,0,16.869
171,0,16.97
172,0,17.07
173,0,17.17
174,0,17.27
175,0,17.369
176,0,17.47
177,0,17.569
178,0,17.67
179,0,17.77
180,0,17.869
181,0,17.97
182,0,18.07
183,0,18.17
184,0,18.269
185,0,18.369
186,0,18.47
187,0,18.57
188,0,18.67
189,0,18.769
190,0,18.869
191,0,18.97
192,0,19.07
193,0,19.17
194,0,19.27
195,0,19.369
196,0,19.47
197,0,19.569
198,0,19.67
199,0,19.771
200,0,19.872
201,0,19.974
202,0,20.073
203,0,20.172
204,0,20.271
205,0,20.372
206,0,20.472
207,0,20.572
208,0,20.67
209,0,20.77
210,0,20.869
211,0,20.971
212,0,21.07
213,0,21.17
214,0,21.271
215,0,21.37
216,0,21.471
217,0,21.57
218,0,21.67
219,0,21.77
220,0,21.869
221,0,21.97
222,0,22.07
223,0,22.17
224,0,22.27
225,0,22.369
226,0,22.47
227,0,22.57
228,0,22.67
229,0,22.771
230,0,22.87
231,0,22.97
232,0,23.07
233,0,23.17
234,0,23.27
235,0,23.369
236,0,23.47
237,0,23.57
238,0,23.67
239,0,23.77
240,0,23.869
241,0,23.97
242,0,24.071
243,0,24.17
244,0,24.27
245,0,24.369
246,0,24.47
247,0,24.57
248,0,24.67
249,0,24.77
250,0,24.869
251,0,24.97
252,0,25.07
253,0,25.17
254,0,25.27
255,0,25.372
256,0,25.471
257,0,25.572
258,0,25.673
259,0,25.773
260,0,25.871
261,0,25.972
262,0,26.072
263,0,26.172
264,0,26.273
265,0,26.371
266,0,26.471
267,0,26.573
268,0,26.673
269,0,26.773
270,0,26.871
271,0,26.97
272,0,27.07
273,0,27.171
274,0,27.27
275,0,27.37
276,0,27.47
277,0,27.57
278,0,27.671
279,0,27.771
280,0,27.871
281,0,27.971
282,0,28.072
283,0,28.171
284,0,28.271
285,0,28.369
286,0,28.471
287,0,28.571
288,0,28.671
289,0,28.772
290,0,28.87
291,0,28.971
292,0,29.071
293,0,29.171
294,0,29.27
295,0,29.369
296,0,29.47
297,0,29.57
298,0,29.671
299,0,29.774
300,0,29.873
301,0,29.97
302,0,30.07
303,0,30.17
304,0,30.271
305,0,30.369
306,0,30.47
307,0,30.57
308,0,30.671
309,0,30.77
310,0,30.869
311,0,30.971
312,0,31.07
313,0,31.17
314,0,31.27
315,0,31.369
316,0,31.472
317,0,31.576
318,0,31.673
319,0,31.773
320,0,31.869
321,0,31.97
322,0,32.071
323,0,32.172
324,0,32.271
325,0,32.374
326,0,32.472
327,0,32.57
328,0,32.669
329,0,32.77
330,0,32.87
331,0,32.971
332,0,33.07
333,0,33.171
334,0,33.27
335,0,33.369
336,0,33.47
337,0,33.572
338,0,33.672
339,0,33.77
340,0,33.869
341,0,33.97
342,0,34.071
343,0,34.17
344,0,34.27
345,0,34.369
346,0,34.47
347,0,34.572
348,0,34.673
349,0,34.772
350,0,34.871
351,0,34.976
352,0,35.074
353,0,35.175
354,0,35.274
355,0,35.374
356,0,35.473
357,0,35.572
358,0,35.675
359,0,35.773
360,0,35.873
361,0,35.973
362,0,36.073
363,0,36.174
364,0,36.273
365,0,36.371
366,0,36.471
367,0,36.572
368,0,36.673
369,0,36.774
370,0,36.873
371,0,36.972
372,0,37.073
373,0,37.174
374,0,37.275
375,0,37.373
376,0,37.472
377,0,37.571
378,0,37.672
379,0,37.772
