Reading,Load [21.4 N],Time [sec.]
1,0,0
2,0,0.101
3,0,0.199
4,0,0.299
5,0,0.399
6,0,0.499
7,0,0.599
8,0,0.698
9,0,0.801
10,0,0.898
11,0,0.999
12,0,1.099
13,0,1.21
14,0,1.303
15,0,1.401
16,0,1.502
17,0,1.6
18,0,1.698
19,0,1.801
20,0,1.899
21,0,1.999
22,0,2.099
23,0,2.2
24,0,2.3
25,0,2.4
26,0,2.504
27,0,2.6
28,0,2.698
29,0,2.8
30,0,2.899
31,0,3.001
32,0,3.1
33,0,3.198
34,0,3.299
35,0,3.399
36,0,3.499
37,0,3.599
38,0,3.7
39,0,3.8
40,0,3.9
41,0,3.999
42,0,4.1
43,0,4.198
44,0,4.303
45,0,4.401
46,0,4.504
47,0,4.614
48,0,4.699
49,0,4.8
50,0,4.899
51,0,5
52,0,5.1
53,0,5.201
54,0,5.3
55,0,5.4
56,0,5.5
57,0,5.599
58,0,5.698
59,0,5.799
60,0,5.9
61,0,6.003
62,0,6.112
63,0,6.201
64,0,6.3
65,0,6.4
66,0,6.5
67,0,6.599
68,0,6.698
69,0,6.799
70,0,6.906
71,0,7
72,0,7.099
73,0,7.199
74,0,7.3
75,0,7.403
76,0,7.501
77,0,7.601
78,0,7.698
79,0,7.8
80,0,7.902
81,0,8.001
82,0,8.099
83,0,8.198
84,0,8.298
85,0,8.399
86,0,8.5
87,0,8.6
88,0,8.698
89,0,8.798
90,0,8.899
91,0,8.998
92,0,9.099
93,0,9.198
94,0,9.299
95,0,9.399
96,0,9.499
97,0,9.602
98,0,9.698
99,0,9.799
100,0,9.899
101,0,9.999
102,0,10.099
103,0,10.198
104,0,10.322
105,0,10.463
106,0,10.505
107,0,10.6
108,0,10.699
109,0,10.8
110,0,10.901
111,0,11.002
112,0,11.108
113,0,11.198
114,0,11.299
115,0,11.399
116,0,11.499
117,0,11.6
118,0,11.698
119,0,11.799
120,0,11.899
121,0,11.999
122,0,12.099
123,0,12.198
124,0,12.299
125,0,12.4
126,0,12.499
127,0,12.599
128,0,12.7
129,0,12.8
130,0,12.902
131,0,13
132,0,13.099
133,0,13.202
134,0,13.322
135,0,13.399
136,0,13.5
137,0,13.599
138,0,13.701
139,0,13.801
140,0,13.899
141,0,13.999
142,0,14.098
143,0,14.198
144,0,14.299
145,0,14.4
146,0,14.499
147,0,14.599
148,0,14.698
149,0,14.799
150,0,14.901
151,0,15.003
152,0,15.1
153,0,15.198
154,0,15.301
155,0,15.4
156,0,15.499
157,0,15.599
158,0,15.698
159,0,15.799
160,0,15.899
161,0,15.999
162,0,16.099
163,0,16.2
164,0,16.301
165,0,16.399
166,0,16.499
167,0,16.599
168,0,16.699
169,0,16.799
170,0,16.899
171,0,17
172,0,17.1
173,0,17.198
174,0,17.301
175,0,17.399
176,0,17.499
177,0,17.599
178,0,17.698
179,0,17.803
180,0,17.901
181,0,17.998
182,0,18.099
183,0,18.198
184,0,18.299
185,0,18.402
186,0,18.502
187,0,18.599
188,0,18.698
189,0,18.801
190,0,18.902
191,0,19.001
192,0,19.1
193,0,19.199
194,0,19.299
195,0,19.399
196,0,19.499
197,0,19.6
198,0,19.698
199,0,19.799
200,0,19.899
201,0,20
202,0,20.1
203,0,20.2
204,0,20.3
205,0,20.399
206,0,20.499
207,0,20.599
208,0,20.698
209,0,20.799
210,0,20.899
211,0,20.999
212,0,21.099
213,0,21.199
214,0,21.3
215,0,21.4
216,0,21.499
217,0,21.599
218,0,21.698
219,0,21.799
220,0,21.902
221,0,22
222,0,22.1
223,0,22.198
224,0,22.3
225,0,22.399
226,0,22.499
227,0,22.599
228,0,22.705
229,0,22.8
230,0,22.899
231,0,23
232,0,23.099
233,0,23.198
234,0,23.299
235,0,23.399
236,0,23.5
237,0,23.599
238,0,23.698
239,0,23.8
240,0,23.899
241,0,24
242,0,24.1
243,0,24.198
244,0,24.299
245,0,24.399
246,0,24.501
247,0,24.6
248,0,24.699
249,0,24.802
250,0,24.899
251,0,24.999
252,0,25.099
253,0,25.198
254,0,25.301
255,0,25.399
256,0,25.499
257,0,25.599
258,0,25.698
259,0,25.799
260,0,25.899
261,0,26
262,0,26.099
263,0,26.198
264,0,26.299
265,0,26.399
266,0,26.499
267,0,26.599
268,0,26.698
269,0,26.799
270,0,26.899
271,0,27
272,0,27.099
273,0,27.198
274,0,27.299
275,0,27.398
276,0,27.499
277,0,27.599
278,0,27.698
279,0,27.799
280,0,27.899
281,0,27.999
282,0,28.099
283,0,28.198
284,0,28.299
285,0,28.399
286,0,28.499
287,0,28.599
288,0,28.698
289,0,28.799
290,0,28.899
291,0,29
292,0,29.1
293,0,29.199
294,0,29.303
295,0,29.406
296,0,29.501
297,0,29.6
298,0,29.698
299,0,29.8
300,0,29.899
301,0,29.999
302,0,30.099
303,0,30.199
304,0,30.299
305,0,30.4
306,0,30.499
307,0,30.6
308,0,30.702
309,0,30.798
310,0,30.9
311,0,30.999
312,0,31.1
313,0,31.198
314,0,31.3
315,0,31.399
316,0,31.5
317,0,31.6
318,0,31.699
319,0,31.799
320,0,31.899
321,0,31.999
322,0,32.099
