Reading,Load [21.8 N],Time [sec.]
1,-0.2,0
2,-0.2,0.094
3,-0.2,0.195
4,-0.2,0.294
5,-0.2,0.394
6,-0.2,0.493
7,-0.2,0.593
8,-0.2,0.694
9,-0.2,0.8
10,-0.2,0.895
11,-0.2,0.994
12,-0.2,1.093
13,-0.2,1.195
14,-0.2,1.3
15,-0.2,1.395
16,-0.2,1.495
17,-0.2,1.594
18,-0.2,1.693
19,-0.2,1.794
20,-0.2,1.893
21,-0.2,1.993
22,-0.2,2.093
23,-0.2,2.193
24,-0.2,2.295
25,-0.2,2.393
26,-0.2,2.493
27,-0.2,2.593
28,-0.2,2.693
29,-0.2,2.794
30,-0.2,2.893
31,-0.2,2.993
32,-0.2,3.093
33,-0.2,3.193
34,-0.2,3.293
35,-0.2,3.393
36,-0.2,3.494
37,-0.2,3.594
38,-0.2,3.695
39,-0.2,3.796
40,-0.2,3.909
41,-0.2,4.007
42,-0.2,4.095
43,-0.2,4.194
44,-0.2,4.294
45,-0.2,4.394
46,-0.2,4.494
47,-0.2,4.599
48,-0.2,4.695
49,-0.2,4.795
50,-0.2,4.896
51,-0.2,4.993
52,-0.2,5.1
53,-0.2,5.195
54,-0.2,5.295
55,-0.2,5.397
56,-0.2,5.496
57,-0.2,5.594
58,-0.2,5.694
59,-0.2,5.794
60,-0.2,5.893
61,-0.2,5.993
62,-0.2,6.093
63,-0.2,6.194
64,-0.2,6.295
65,-0.2,6.393
66,-0.2,6.495
67,-0.2,6.593
68,-0.2,6.693
69,-0.2,6.795
70,-0.2,6.894
71,-0.2,6.993
72,-0.2,7.094
73,-0.2,7.197
74,-0.2,7.294
75,-0.2,7.393
76,-0.2,7.493
77,-0.2,7.593
78,-0.2,7.693
79,-0.2,7.796
80,-0.2,7.895
81,-0.2,7.995
82,-0.2,8.095
83,-0.2,8.192
84,-0.2,8.295
85,-0.2,8.394
86,-0.2,8.493
87,-0.2,8.594
88,-0.2,8.698
89,-0.2,8.794
90,-0.2,8.893
91,-0.2,8.994
92,-0.2,9.093
93,-0.2,9.193
94,-0.2,9.294
95,-0.2,9.392
96,-0.2,9.494
97,-0.2,9.593
98,-0.2,9.693
99,-0.2,9.794
100,-0.2,9.894
101,-0.2,9.993
102,-0.2,10.093
103,-0.2,10.194
104,-0.2,10.294
105,-0.2,10.393
106,-0.2,10.494
107,-0.2,10.593
108,-0.2,10.693
109,-0.2,10.794
110,-0.2,10.896
111,-0.2,10.993
112,-0.2,11.102
113,-0.2,11.194
114,-0.2,11.294
115,-0.2,11.393
116,-0.2,11.493
117,-0.2,11.593
118,-0.2,11.693
119,-0.2,11.794
120,-0.2,11.894
121,-0.2,11.994
122,-0.2,12.092
123,-0.2,12.194
124,-0.2,12.294
125,-0.2,12.393
126,-0.2,12.493
127,-0.2,12.593
128,-0.2,12.693
129,-0.2,12.794
130,-0.2,12.893
131,-0.2,12.993
132,-0.2,13.093
133,-0.2,13.193
134,-0.2,13.294
135,-0.2,13.393
136,-0.2,13.493
137,-0.2,13.595
138,-0.2,13.693
139,-0.2,13.796
140,-0.2,13.894
141,-0.2,14
142,-0.2,14.094
143,-0.2,14.194
144,-0.2,14.293
145,-0.2,14.395
146,-0.2,14.493
147,-0.2,14.594
148,-0.2,14.693
149,-0.2,14.795
150,-0.2,14.894
151,-0.2,14.993
152,-0.2,15.094
153,-0.2,15.194
154,-0.2,15.295
155,-0.2,15.394
