Reading,Load [4.4 N],Time [sec.]
1,0,0
2,0,0.098
3,0,0.198
4,0,0.298
5,0,0.398
6,0,0.499
7,0,0.598
8,0,0.698
9,0,0.798
10,0,0.899
11,0,1
12,0,1.1
13,0,1.241
14,0,1.299
15,0,1.399
16,0,1.499
17,0,1.598
18,0,1.698
19,0,1.798
20,0,1.898
21,0,1.999
22,0,2.098
23,0,2.198
24,0,2.298
25,0,2.398
26,0,2.499
27,0,2.598
28,0,2.698
29,0,2.798
30,0,2.898
31,0,2.999
32,0,3.098
33,0,3.198
34,0,3.298
35,0,3.399
36,0,3.499
37,0,3.599
38,0,3.698
39,0,3.798
40,0,3.899
41,0,3.999
42,0,4.098
43,0,4.198
44,0,4.298
45,0,4.398
46,0,4.499
47,0,4.598
48,0,4.7
49,0,4.798
50,0,4.898
51,0,4.999
52,0,5.097
53,0,5.198
54,0,5.298
55,0,5.397
56,0,5.498
57,0,5.598
58,0,5.699
59,0,5.798
60,0,5.898
61,0,5.999
62,0,6.098
63,0,6.198
64,0,6.298
65,0,6.398
66,0,6.499
67,0,6.598
68,0,6.698
69,0,6.797
70,0,6.898
71,0,6.999
72,0,7.097
73,0,7.198
74,0,7.298
75,0,7.398
76,0,7.499
77,0,7.598
78,0,7.698
79,0,7.798
80,0,7.899
81,0,7.999
82,0,8.099
83,0,8.199
84,0,8.298
85,0,8.398
86,0,8.499
87,0,8.598
88,0,8.697
89,0,8.797
90,0,8.898
91,0,8.999
92,0,9.098
93,0,9.199
94,0,9.298
95,0,9.398
96,0,9.5
97,0,9.601
98,0,9.699
99,0,9.829
100,0,9.905
101,0,9.999
102,0,10.098
103,0,10.199
104,0,10.299
105,0,10.398
106,0,10.5
107,0,10.599
108,0,10.699
109,0,10.807
110,0,10.901
111,0,10.999
112,0,11.098
113,0,11.198
114,0,11.298
115,0,11.398
116,0,11.499
117,0,11.598
118,0,11.698
119,0,11.798
120,0,11.898
121,0,11.999
122,0,12.098
123,0,12.198
124,0,12.298
125,0,12.398
126,0,12.5
127,0,12.598
128,0,12.699
129,0,12.799
130,0,12.898
131,0,12.999
132,0,13.098
133,0,13.2
134,0,13.299
135,0,13.398
136,0,13.499
137,0,13.599
138,0,13.699
139,0,13.798
140,0,13.898
141,0,14
142,0,14.098
143,0,14.198
144,0,14.298
145,0,14.398
146,0,14.499
147,0,14.598
148,0,14.698
149,0,14.798
150,0,14.898
151,0,14.999
152,0,15.098
153,0,15.198
154,0,15.298
155,0,15.398
156,0,15.499
157,0,15.597
158,0,15.698
159,0,15.797
160,0,15.898
161,0,15.999
162,0,16.097
163,0,16.198
164,0,16.298
165,0,16.398
166,0,16.502
167,0,16.6
168,0,16.699
169,0,16.798
170,0,16.898
171,0,17
172,0,17.098
173,0,17.198
174,0,17.299
175,0,17.398
176,0,17.499
177,0,17.599
178,0,17.699
179,0,17.798
180,0,17.898
181,0,17.999
182,0,18.098
183,0,18.198
184,0,18.298
185,0,18.398
186,0,18.501
187,0,18.6
188,0,18.701
189,0,18.798
190,0,18.899
191,0,19
192,0,19.099
193,0,19.198
194,0,19.298
195,0,19.397
196,0,19.499
197,0,19.602
198,0,19.702
199,0,19.799
200,0,19.898
201,0,20
202,0,20.099
203,0,20.199
204,0,20.298
205,0,20.399
206,0,20.5
207,0,20.6
208,0,20.698
209,0,20.799
210,0,20.899
211,0,21
212,0,21.099
213,0,21.198
214,0,21.299
215,0,21.397
216,0,21.5
217,0,21.599
218,0,21.699
219,0,21.799
220,0,21.899
221,0,22
222,0,22.098
223,0,22.199
224,0,22.298
225,0,22.398
226,0,22.499
227,0,22.598
228,0,22.698
229,0,22.798
230,0,22.897
231,0,23.002
232,0,23.099
233,0,23.198
234,0,23.297
235,0,23.398
236,0,23.499
237,0,23.598
238,0,23.698
239,0,23.797
240,0,23.898
241,0,23.998
242,0,24.098
243,0,24.198
244,0,24.298
245,0,24.4
246,0,24.5
247,0,24.6
248,0,24.699
249,0,24.799
250,0,24.899
251,0,25.001
252,0,25.101
253,0,25.198
254,0,25.298
255,0,25.399
256,0,25.501
257,0,25.598
258,0,25.698
259,0,25.798
260,0,25.897
261,0,25.999
262,0,26.098
263,0,26.198
264,0,26.298
265,0,26.398
266,0,26.499
267,0,26.597
268,0,26.698
269,0,26.798
270,0,26.897
271,0,26.999
272,0,27.098
273,0,27.198
274,0,27.299
275,0,27.398
276,0,27.499
277,0,27.598
278,0,27.697
279,0,27.797
280,0,27.898
281,0,27.999
282,0,28.098
283,0,28.198
284,0,28.3
285,0,28.398
286,0,28.5
287,0,28.599
288,0,28.7
289,0,28.799
290,0,28.898
291,0,28.999
292,0,29.098
293,0,29.198
294,0,29.299
295,0,29.399
296,0,29.5
297,0,29.599
298,0,29.698
299,0,29.798
300,0,29.898
301,0,29.999
302,0,30.098
303,0,30.198
304,0,30.298
305,0,30.398
306,0,30.5
307,0,30.598
308,0,30.698
309,0,30.798
310,0,30.898
311,0,30.999
312,0,31.098
313,0,31.198
314,0,31.298
315,0,31.398
316,0,31.498
317,0,31.597
318,0,31.698
319,0,31.798
320,0,31.898
321,0,32.002
322,0,32.102
323,0,32.2
324,0,32.298
325,0,32.398
326,0,32.501
327,0,32.601
328,0,32.698
329,0,32.798
330,0,32.898
331,0,32.999
332,0,33.098
333,0,33.198
334,0,33.298
335,0,33.398
336,0,33.499
337,0,33.597
338,0,33.698
339,0,33.798
340,0,33.898
341,0,33.999
342,0,34.098
343,0,34.198
344,0,34.298
345,0,34.398
346,0,34.499
347,0,34.598
348,0,34.698
349,0,34.798
350,0,34.898
351,0,35.001
352,0,35.098
353,0,35.198
354,0,35.298
355,0,35.398
356,0,35.499
357,0,35.598
358,0,35.698
359,0,35.798
360,0,35.898
361,0,35.999
362,0,36.097
363,0,36.197
364,0,36.298
365,0,36.398
366,0,36.499
367,0,36.598
368,0,36.698
369,0,36.798
370,0,36.898
