Reading,Load [1.0 N],Time [sec.]
1,0,0
2,0,0.086
3,0,0.183
4,0,0.285
5,0,0.384
6,0,0.484
7,0,0.584
8,0,0.684
9,0,0.786
10,0,0.885
11,0,0.986
12,0,1.091
13,0,1.185
14,0,1.284
15,0,1.384
16,0,1.484
17,0,1.584
18,0,1.684
19,0,1.784
20,0,1.883
21,0,1.984
22,0,2.084
23,0,2.183
24,0,2.287
25,0,2.383
26,0,2.485
27,0,2.584
28,0,2.685
29,0,2.789
30,0,2.887
31,0,2.994
32,0,3.088
33,0,3.185
34,0,3.286
35,0,3.386
36,0,3.486
37,0,3.584
38,0,3.684
39,0,3.784
40,0,3.884
41,0,3.985
42,0,4.085
43,0,4.189
44,0,4.285
45,0,4.385
46,0,4.49
47,0,4.585
48,0,4.684
49,0,4.785
50,0,4.886
51,0,4.988
52,0,5.088
53,0,5.186
54,0,5.284
55,0,5.384
56,0,5.484
57,0,5.584
58,0,5.685
59,0,5.786
60,0,5.884
61,0,5.988
62,0,6.085
63,0,6.183
64,0,6.284
65,0,6.385
66,0,6.486
67,0,6.586
68,0,6.685
69,0,6.786
70,0,6.885
71,0,7.001
72,0,7.087
73,0,7.186
74,0,7.288
75,0,7.386
76,0,7.487
77,0,7.593
78,0,7.686
79,0,7.785
80,0,7.885
81,0,7.984
82,0,8.085
83,0,8.185
84,0,8.286
85,0,8.387
86,0,8.485
87,0,8.584
88,0,8.684
89,0,8.784
90,0,8.885
91,0,8.984
92,0,9.084
93,0,9.184
94,0,9.284
95,0,9.384
96,0,9.485
97,0,9.583
98,0,9.686
99,0,9.784
100,0,9.884
101,0,9.984
102,0,10.084
103,0,10.184
104,0,10.284
105,0,10.383
106,0,10.484
107,0,10.584
108,0,10.684
109,0,10.784
110,0,10.884
111,0,10.985
112,0,11.083
113,0,11.185
114,0,11.284
115,0,11.384
116,0,11.484
117,0,11.585
118,0,11.683
119,0,11.785
120,0,11.885
121,0,11.984
122,0,12.084
123,0,12.184
124,0,12.284
125,0,12.384
126,0,12.484
127,0,12.584
128,0,12.683
129,0,12.784
130,0,12.884
131,0,12.984
132,0,13.084
133,0,13.184
134,0,13.284
135,0,13.384
136,0,13.484
137,0,13.584
138,0,13.684
139,0,13.784
140,0,13.883
141,0,13.984
142,0,14.084
143,0,14.184
144,0,14.284
145,0,14.385
146,0,14.485
147,0,14.584
148,0,14.684
149,0,14.784
150,0,14.884
151,0,14.985
152,0,15.084
153,0,15.184
154,0,15.284
155,0,15.384
156,0,15.484
157,0,15.584
158,0,15.684
159,0,15.784
160,0,15.884
161,0,15.984
162,0,16.084
163,0,16.185
164,0,16.288
165,0,16.387
166,0,16.484
167,0,16.584
168,0,16.685
169,0,16.784
170,0,16.884
171,0,16.986
172,0,17.085
173,0,17.185
174,0,17.287
175,0,17.385
176,0,17.485
177,0,17.584
178,0,17.686
179,0,17.784
180,0,17.884
181,0,17.986
182,0,18.085
183,0,18.187
184,0,18.287
185,0,18.386
186,0,18.486
187,0,18.585
188,0,18.684
189,0,18.785
190,0,18.884
191,0,18.985
192,0,19.084
193,0,19.185
194,0,19.285
195,0,19.385
196,0,19.484
197,0,19.585
198,0,19.685
199,0,19.788
200,0,19.885
201,0,19.984
202,0,20.084
203,0,20.184
204,0,20.284
205,0,20.385
206,0,20.485
207,0,20.586
208,0,20.684
209,0,20.784
210,0,20.884
211,0,20.986
212,0,21.084
213,0,21.185
214,0,21.284
215,0,21.385
216,0,21.484
217,0,21.586
218,0,21.684
219,0,21.784
220,0,21.885
221,0,21.984
222,0,22.085
223,0,22.185
224,0,22.285
225,0,22.385
226,0,22.485
227,0,22.585
228,0,22.684
229,0,22.785
230,0,22.885
231,0,22.985
232,0,23.084
233,0,23.185
234,0,23.285
235,0,23.385
236,0,23.485
237,0,23.585
238,0,23.684
239,0,23.785
240,0,23.885
241,0,23.986
242,0,24.084
243,0,24.186
244,0,24.285
245,0,24.385
246,0,24.484
247,0,24.584
248,0,24.685
249,0,24.784
250,0,24.884
251,0,24.985
252,0,25.085
253,0,25.184
254,0,25.284
255,0,25.385
256,0,25.484
257,0,25.585
258,0,25.684
259,0,25.785
260,0,25.884
261,0,25.985
262,0,26.084
263,0,26.184
264,0,26.284
265,0,26.384
266,0,26.486
267,0,26.584
268,0,26.687
269,0,26.786
270,0,26.885
271,0,26.985
272,0,27.084
273,0,27.184
274,0,27.284
275,0,27.385
276,0,27.484
277,0,27.585
278,0,27.685
279,0,27.785
280,0,27.885
281,0,27.985
282,0,28.084
283,0,28.184
284,0,28.284
285,0,28.385
286,0,28.484
287,0,28.585
288,0,28.685
289,0,28.784
290,0,28.884
291,0,28.985
292,0,29.085
293,0,29.184
294,0,29.284
295,0,29.384
296,0,29.484
297,0,29.584
298,0,29.684
299,0,29.784
300,0,29.885
301,0,29.984
302,0,30.084
303,0,30.184
304,0,30.284
305,0,30.384
306,0,30.484
307,0,30.585
308,0,30.689
309,0,30.789
310,0,30.885
311,0,30.984
312,0,31.084
313,0,31.187
314,0,31.284
315,0,31.384
316,0,31.484
317,0,31.584
318,0,31.684
319,0,31.787
320,0,31.884
321,0,31.985
322,0,32.084
323,0,32.186
324,0,32.284
325,0,32.384
326,0,32.484
327,0,32.584
328,0,32.684
329,0,32.784
