Reading,Load [7.4 N],Time [sec.]
1,0,0
2,0,0.098
3,0,0.197
4,0,0.296
5,0,0.396
6,0,0.497
7,0,0.597
8,0,0.697
9,0,0.797
10,0,0.896
11,0,1.007
12,0,1.098
13,0,1.196
14,0,1.298
15,0,1.397
16,0,1.498
17,0,1.596
18,0,1.697
19,0,1.801
20,0,1.897
21,0,1.998
22,0,2.1
23,0,2.198
24,0,2.296
25,0,2.397
26,0,2.497
27,0,2.596
28,0,2.697
29,0,2.8
30,0,2.899
31,0,3.002
32,0,3.097
33,0,3.197
34,0,3.296
35,0,3.398
36,0,3.498
37,0,3.599
38,0,3.696
39,0,3.799
40,0,3.898
41,0,3.998
42,0,4.096
43,0,4.196
44,0,4.296
45,0,4.396
46,0,4.497
47,0,4.596
48,0,4.696
49,0,4.796
50,0,4.918
51,0,4.997
52,0,5.097
53,0,5.196
54,0,5.299
55,0,5.399
56,0,5.499
57,0,5.598
58,0,5.698
59,0,5.797
60,0,5.897
61,0,5.998
62,0,6.101
63,0,6.198
64,0,6.297
65,0,6.396
66,0,6.497
67,0,6.598
68,0,6.698
69,0,6.798
70,0,6.897
71,0,6.998
72,0,7.096
73,0,7.197
74,0,7.296
75,0,7.398
76,0,7.497
77,0,7.597
78,0,7.696
79,0,7.797
80,0,7.897
81,0,7.998
82,0,8.096
83,0,8.197
84,0,8.296
85,0,8.396
86,0,8.497
87,0,8.596
88,0,8.696
89,0,8.796
90,0,8.897
91,0,8.997
92,0,9.097
93,0,9.197
94,0,9.296
95,0,9.396
96,0,9.498
97,0,9.597
98,0,9.697
99,0,9.799
100,0,9.897
101,0,9.997
102,0,10.096
103,0,10.196
104,0,10.296
105,0,10.398
106,0,10.497
107,0,10.596
108,0,10.696
109,0,10.797
110,0,10.896
111,0,10.997
112,0,11.097
113,0,11.197
114,0,11.297
115,0,11.398
116,0,11.496
117,0,11.598
118,0,11.697
119,0,11.796
120,0,11.897
121,0,11.997
122,0,12.096
123,0,12.197
124,0,12.297
125,0,12.396
126,0,12.497
127,0,12.596
128,0,12.696
129,0,12.796
130,0,12.897
131,0,12.998
132,0,13.096
133,0,13.196
134,0,13.296
135,0,13.396
136,0,13.499
137,0,13.597
138,0,13.696
139,0,13.796
140,0,13.896
141,0,13.997
142,0,14.096
143,0,14.197
144,0,14.297
145,0,14.396
146,0,14.497
147,0,14.597
148,0,14.696
149,0,14.797
150,0,14.896
151,0,14.997
152,0,15.096
153,0,15.196
154,0,15.296
155,0,15.397
156,0,15.497
157,0,15.596
158,0,15.705
159,0,15.797
160,0,15.896
161,0,15.997
162,0,16.096
163,0,16.196
164,0,16.297
165,0,16.402
166,0,16.502
167,0,16.598
168,0,16.702
169,0,16.798
170,0,16.896
171,0,16.997
172,0,17.097
173,0,17.197
174,0,17.297
175,0,17.401
176,0,17.497
177,0,17.597
178,0,17.698
179,0,17.797
180,0,17.897
181,0,17.999
182,0,18.098
183,0,18.197
184,0,18.296
185,0,18.397
186,0,18.498
187,0,18.596
188,0,18.704
189,0,18.798
190,0,18.896
191,0,18.998
192,0,19.097
193,0,19.196
194,0,19.297
195,0,19.396
196,0,19.498
197,0,19.597
198,0,19.699
199,0,19.796
200,0,19.896
201,0,19.997
202,0,20.096
203,0,20.197
204,0,20.296
205,0,20.396
206,0,20.496
207,0,20.597
208,0,20.696
209,0,20.796
210,0,20.897
211,0,20.997
212,0,21.096
213,0,21.197
214,0,21.297
215,0,21.396
216,0,21.497
217,0,21.598
218,0,21.7
219,0,21.8
220,0,21.898
221,0,21.997
222,0,22.096
223,0,22.196
224,0,22.296
225,0,22.396
226,0,22.497
227,0,22.598
228,0,22.697
229,0,22.796
230,0,22.896
231,0,22.997
232,0,23.096
233,0,23.196
234,0,23.296
235,0,23.396
236,0,23.497
237,0,23.596
238,0,23.696
239,0,23.796
240,0,23.896
241,0,23.997
242,0,24.096
243,0,24.195
244,0,24.296
245,0,24.396
246,0,24.497
247,0,24.596
248,0,24.696
249,0,24.796
250,0,24.896
251,0,24.997
252,0,25.096
253,0,25.196
254,0,25.296
255,0,25.396
256,0,25.497
257,0,25.596
258,0,25.697
259,0,25.796
260,0,25.896
261,0,25.997
262,0,26.096
263,0,26.196
264,0,26.296
265,0,26.396
266,0,26.498
267,0,26.596
268,0,26.696
269,0,26.796
270,0,26.9
271,0,26.997
272,0,27.096
273,0,27.196
274,0,27.296
275,0,27.396
276,0,27.497
277,0,27.596
278,0,27.696
279,0,27.796
280,0,27.896
281,0,27.997
282,0,28.095
283,0,28.196
284,0,28.295
285,0,28.396
286,0,28.497
287,0,28.595
288,0,28.696
289,0,28.796
290,0,28.896
291,0,28.997
292,0,29.097
293,0,29.196
294,0,29.295
295,0,29.396
296,0,29.497
297,0,29.596
298,0,29.696
299,0,29.796
300,0,29.896
301,0,29.999
302,0,30.096
303,0,30.196
304,0,30.295
305,0,30.396
306,0,30.496
307,0,30.596
308,0,30.696
309,0,30.796
310,0,30.895
311,0,30.997
312,0,31.095
313,0,31.197
314,0,31.296
315,0,31.396
316,0,31.497
317,0,31.596
318,0,31.699
319,0,31.795
320,0,31.896
321,0,31.997
322,0,32.096
323,0,32.196
324,0,32.296
325,0,32.396
326,0,32.497
327,0,32.596
328,0,32.698
329,0,32.801
330,0,32.898
331,0,32.999
332,0,33.096
333,0,33.196
334,0,33.296
335,0,33.397
336,0,33.498
337,0,33.596
338,0,33.696
339,0,33.798
340,0,33.896
341,0,33.999
342,0,34.097
343,0,34.196
344,0,34.299
345,0,34.398
346,0,34.497
347,0,34.598
348,0,34.699
349,0,34.796
350,0,34.896
351,0,34.997
352,0,35.096
353,0,35.196
354,0,35.296
355,0,35.396
356,0,35.497
357,0,35.596
358,0,35.696
359,0,35.796
360,0,35.896
361,0,35.997
362,0,36.096
363,0,36.196
364,0,36.296
365,0,36.396
366,0,36.497
367,0,36.597
368,0,36.696
369,0,36.796
